date	mois	an	lieu	rr	etp	tempm	tempn	tempx
21/06/2011	juin	2011	LEGTA	0	2.4	21.3	17.6	27
22/06/2011	juin	2011	LEGTA	0	2.1	20.9	16	27
23/06/2011	juin	2011	LEGTA	0	2.9	22.7	19.2	27.9
24/06/2011	juin	2011	LEGTA	0	1.8	21.3	17.6	27
25/06/2011	juin	2011	LEGTA	0	2.7	21.8	18.1	27.3
26/06/2011	juin	2011	LEGTA	0	1.4	22	19.9	25.6
27/06/2011	juin	2011	LEGTA	0	2.8	22.5	19	28.5
28/06/2011	juin	2011	LEGTA	0	3.4	22.6	18.8	28.2
29/06/2011	juin	2011	LEGTA	0	2.6	22.5	19.8	27.7
30/06/2011	juin	2011	LEGTA	0	3.4	21.4	17.3	27.8
01/07/2011	juillet	2011	LEGTA	0	2.5	21.5	16.9	26.4
02/07/2011	juillet	2011	LEGTA	0	2.7	22.7	19.6	26.5
03/07/2011	juillet	2011	LEGTA	0	1.8	21.9	19.1	26.7
04/07/2011	juillet	2011	LEGTA	0.5	3.5	21.7	17.5	27.3
05/07/2011	juillet	2011	LEGTA	0	2	20.9	18.3	25.9
06/07/2011	juillet	2011	LEGTA	0	2.1	20.8	17.8	26.1
07/07/2011	juillet	2011	LEGTA	1.5	1.9	20.8	16.6	26.9
08/07/2011	juillet	2011	LEGTA	0	2.2	21.6	18.6	28
09/07/2011	juillet	2011	LEGTA	0	2.1	20.2	16.5	26.1
10/07/2011	juillet	2011	LEGTA	0	2.1	20.8	16.9	26.4
11/07/2011	juillet	2011	LEGTA	0	2.2	19.7	16.4	25.6
12/07/2011	juillet	2011	LEGTA	0	2.2	19.6	16.6	25.9
13/07/2011	juillet	2011	LEGTA	0	2.7	19.8	15.6	26.2
14/07/2011	juillet	2011	LEGTA	0	2.6	20.2	16.1	26.7
15/07/2011	juillet	2011	LEGTA	0	2.4	20.5	16.1	27
16/07/2011	juillet	2011	LEGTA	0	1.7	20.5	17.2	26.5
17/07/2011	juillet	2011	LEGTA	0	1.8	21.8	17.7	28.7
18/07/2011	juillet	2011	LEGTA	0	2.6	21.7	17.7	28.7
19/07/2011	juillet	2011	LEGTA	0	2.3	22.3	18.3	28.9
20/07/2011	juillet	2011	LEGTA	0	1.6	21.9	18.7	27
22/07/2011	juillet	2011	LEGTA	0	2.4	21.9	17.6	27.7
23/07/2011	juillet	2011	LEGTA	0	3	20.9	17	26.5
24/07/2011	juillet	2011	LEGTA	0	2.4	20	16	27.2
25/07/2011	juillet	2011	LEGTA	0	2	20.2	16.7	25.9
