Date	Piege	Nbad	Bourgeons	FlorC	FlorD	FlorE	FlorF	FlorG	VegC	VegD	VegE	VegF	VegG
12/07/2012	A2	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	B2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12/07/2012	C3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	C1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	A2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	B2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	A3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	B3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16/07/2012	C3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	A1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	B1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	C1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	B2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19/07/2012	C2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
